City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sidi akkacha,36.4647,1.3026,293.31,74,89,1.67,DZ,1727502567
83,tarawa,1.419,172.984,303.2,70,20,3.6,KI,1727502569
84,yanchep,-31.55,115.6833,289.5,48,65,5.03,AU,1727502570
85,fassberg,52.9,10.1667,282.16,93,40,3.6,DE,1727502571
86,umuarama,-23.7664,-53.325,288.93,60,0,2.28,BR,1727502455
87,flin flon,54.7682,-101.865,285.54,51,12,6.06,CA,1727502573
88,iskateley,67.6803,53.1512,284.74,94,100,8.1,RU,1727502574
89,victoria,22.2855,114.1577,306.46,70,10,1.34,HK,1727502362
90,khandyga,62.6667,135.6,277.91,72,100,1.71,RU,1727502576
91,hawaiian paradise park,19.5933,-154.9731,296.33,93,100,4.12,US,1727502577
92,arkhangel'sk,64.5401,40.5433,288.21,88,75,6.0,RU,1727502578
93,saipan,15.1355,145.701,304.54,74,75,2.06,MP,1727502579
94,dwarka,22.2394,68.9678,301.68,76,100,5.94,IN,1727502580
95,kalix,65.853,23.1565,277.71,79,86,5.32,SE,1727502582
96,oamaru,-45.0784,170.9801,282.53,76,30,4.31,NZ,1727502584
97,moroto,2.5345,34.6666,298.03,49,89,2.64,UG,1727502585
98,muscatine,41.4667,-91.1335,290.84,64,0,5.14,US,1727502586
99,huambo,-12.7761,15.7392,289.04,88,41,1.03,AO,1727502587
100,ribeira grande,38.5167,-28.7,296.91,95,98,7.15,PT,1727502588
101,udachny,66.4167,112.4,275.57,57,99,8.98,RU,1727502589
102,al ghayzah,16.2079,52.176,303.26,63,80,2.55,YE,1727502590
103,myszkow,50.5752,19.3246,284.17,94,58,4.12,PL,1727502591
104,bethel,41.3712,-73.414,291.24,89,75,0.0,US,1727502378
105,sumbawa besar,-8.5,117.4333,308.73,36,13,3.75,ID,1727502593
106,patamundai,20.5667,86.5667,304.58,67,97,4.26,IN,1727502594
107,maun,-19.9833,23.4167,296.13,31,0,3.09,BW,1727502595
108,rivne,50.6231,26.2274,294.07,56,47,5.32,UA,1727502597
109,nanping,26.645,118.1736,304.37,55,32,1.42,CN,1727502598
110,burang,30.25,81.1667,283.81,54,94,3.03,CN,1727502599
111,port mathurin,-19.6833,63.4167,295.55,78,39,8.97,MU,1727502600
112,isla mujeres,21.2311,-86.731,298.8,81,88,2.63,MX,1727502601
113,talnakh,69.4865,88.3972,274.17,99,100,5.14,RU,1727502602
114,broken hill,-31.95,141.4333,296.83,19,93,7.43,AU,1727502603
115,hermanus,-34.4187,19.2345,287.48,78,44,7.8,ZA,1727502604
116,black point,-34.6187,137.8972,290.22,63,100,11.07,AU,1727502605
117,aqsay,51.1678,52.995,291.36,24,0,3.26,KZ,1727502606
118,isabela,6.7085,121.9711,303.18,67,62,3.12,PH,1727502608
119,santa terezinha,-29.9002,-50.0904,288.0,89,2,1.05,BR,1727502609
